,bnds,time,member,lat,lat_bnds,lon,lon_bnds,time_bnds,member_id,gcm_institution,gcm_model,gcm_variant,rcm_institution,rcm_model,rcm_variant,mrro,crs
47,0,2006-10-01,2,37.0625,37.0,25.3125,25.25,2006-10-01,MOHC_HadGEM2-ES_r1i1p1_ICTP_RegCM4-6_v1,MOHC,HadGEM2-ES,r1i1p1,ICTP,RegCM4-6,v1,,-2147483647
48,0,2006-10-01,3,37.0625,37.0,25.3125,25.25,2006-10-01,MPI-M_MPI-ESM-LR_r1i1p1_ICTP_RegCM4-6_v1,MPI-M,MPI-ESM-LR,r1i1p1,ICTP,RegCM4-6,v1,,-2147483647
49,0,2006-10-01,4,37.0625,37.0,25.3125,25.25,2006-10-01,NCC_NorESM1-M_r1i1p1_ICTP_RegCM4-6_v1,NCC,NorESM1-M,r1i1p1,ICTP,RegCM4-6,v1,,-2147483647
50,0,2006-11-01,0,37.0625,37.0,25.3125,25.25,2006-11-01,CNRM-CERFACS_CNRM-CM5_r1i1p1_CNRM_ALADIN63_v2,CNRM-CERFACS,CNRM-CM5,r1i1p1,CNRM,ALADIN63,v2,0.026367188,-2147483647
51,0,2006-11-01,1,37.0625,37.0,25.3125,25.25,2006-11-01,MIROC_MIROC5_r1i1p1_CLMcom_CCLM4-8-17_v1,MIROC,MIROC5,r1i1p1,CLMcom,CCLM4-8-17,v1,0.20019531,-2147483647
52,0,2006-11-01,2,37.0625,37.0,25.3125,25.25,2006-11-01,MOHC_HadGEM2-ES_r1i1p1_ICTP_RegCM4-6_v1,MOHC,HadGEM2-ES,r1i1p1,ICTP,RegCM4-6,v1,,-2147483647
53,0,2006-11-01,3,37.0625,37.0,25.3125,25.25,2006-11-01,MPI-M_MPI-ESM-LR_r1i1p1_ICTP_RegCM4-6_v1,MPI-M,MPI-ESM-LR,r1i1p1,ICTP,RegCM4-6,v1,,-2147483647
54,0,2006-11-01,4,37.0625,37.0,25.3125,25.25,2006-11-01,NCC_NorESM1-M_r1i1p1_ICTP_RegCM4-6_v1,NCC,NorESM1-M,r1i1p1,ICTP,RegCM4-6,v1,,-2147483647
55,0,2006-12-01,0,37.0625,37.0,25.3125,25.25,2006-12-01,CNRM-CERFACS_CNRM-CM5_r1i1p1_CNRM_ALADIN63_v2,CNRM-CERFACS,CNRM-CM5,r1i1p1,CNRM,ALADIN63,v2,0.056640625,-2147483647
56,0,2006-12-01,1,37.0625,37.0,25.3125,25.25,2006-12-01,MIROC_MIROC5_r1i1p1_CLMcom_CCLM4-8-17_v1,MIROC,MIROC5,r1i1p1,CLMcom,CCLM4-8-17,v1,0.7138672,-2147483647
57,0,2006-12-01,2,37.0625,37.0,25.3125,25.25,2006-12-01,MOHC_HadGEM2-ES_r1i1p1_ICTP_RegCM4-6_v1,MOHC,HadGEM2-ES,r1i1p1,ICTP,RegCM4-6,v1,,-2147483647
58,0,2006-12-01,3,37.0625,37.0,25.3125,25.25,2006-12-01,MPI-M_MPI-ESM-LR_r1i1p1_ICTP_RegCM4-6_v1,MPI-M,MPI-ESM-LR,r1i1p1,ICTP,RegCM4-6,v1,,-2147483647
59,0,2006-12-01,4,37.0625,37.0,25.3125,25.25,2006-12-01,NCC_NorESM1-M_r1i1p1_ICTP_RegCM4-6_v1,NCC,NorESM1-M,r1i1p1,ICTP,RegCM4-6,v1,,-2147483647
60,0,2007-01-01,0,37.0625,37.0,25.3125,25.25,2007-01-01,CNRM-CERFACS_CNRM-CM5_r1i1p1_CNRM_ALADIN63_v2,CNRM-CERFACS,CNRM-CM5,r1i1p1,CNRM,ALADIN63,v2,0.24121094,-2147483647
61,0,2007-01-01,1,37.0625,37.0,25.3125,25.25,2007-01-01,MIROC_MIROC5_r1i1p1_CLMcom_CCLM4-8-17_v1,MIROC,MIROC5,r1i1p1,CLMcom,CCLM4-8-17,v1,0.16699219,-2147483647
62,0,2007-01-01,2,37.0625,37.0,25.3125,25.25,2007-01-01,MOHC_HadGEM2-ES_r1i1p1_ICTP_RegCM4-6_v1,MOHC,HadGEM2-ES,r1i1p1,ICTP,RegCM4-6,v1,,-2147483647
63,0,2007-01-01,3,37.0625,37.0,25.3125,25.25,2007-01-01,MPI-M_MPI-ESM-LR_r1i1p1_ICTP_RegCM4-6_v1,MPI-M,MPI-ESM-LR,r1i1p1,ICTP,RegCM4-6,v1,,-2147483647
64,0,2007-01-01,4,37.0625,37.0,25.3125,25.25,2007-01-01,NCC_NorESM1-M_r1i1p1_ICTP_RegCM4-6_v1,NCC,NorESM1-M,r1i1p1,ICTP,RegCM4-6,v1,,-2147483647
